"tick","anonymous_double_time_series","anonymous_double_time_series","anonymous_double_time_series","anonymous_double_time_series","anonymous_double_time_series","anonymous_double_time_series"
"0","0.0","0.0","0.0","0.0","0.0","0.0"
"1","0.0","0.0","0.0","0.0","0.0","0.0"
"2","0.0","0.0","0.0","0.0","0.0","0.0"
"3","0.0","0.0","0.0","0.0","0.0","0.0"
"4","0.0","0.0","0.0","0.0","0.0","0.0"
"5","0.0","0.0","0.0","0.0","0.0","0.0"
"6","0.0","0.0","0.0","0.0","0.0","0.0"
"7","0.0","0.0","0.0","0.0","0.0","0.0"
"8","0.0","0.0","0.0","0.0","0.0","0.0"
"9","0.0","0.0","0.0","0.0","0.0","0.0"
"10","0.0","0.0","0.0","0.0","0.0","0.0"
"11","0.0","0.0","0.0","0.0","0.0","0.0"
"12","0.0","0.0","0.0","0.0","0.0","0.0"
"13","0.0","0.0","0.0","0.0","0.0","0.0"
"14","0.0","0.0","0.0","0.0","0.0","0.0"
"15","0.0","0.0","0.0","0.0","0.0","0.0"
"16","0.0","0.0","0.0","0.0","0.0","0.0"
"17","0.0","0.0","0.0","0.0","0.0","0.0"
"18","0.0","0.0","0.0","0.0","0.0","0.0"
"19","0.0","0.0","0.0","0.0","0.0","0.0"
"20","0.0","0.0","0.0","0.0","0.0","0.0"
"21","0.0","0.0","0.0","0.0","0.0","0.0"
"22","0.0","0.0","0.0","0.0","0.0","0.0"
"23","0.0","0.0","0.0","0.0","0.0","0.0"
"24","0.0","0.0","0.0","0.0","0.0","0.0"
"25","0.0","0.0","0.0","0.0","0.0","0.0"
"26","0.0","0.0","0.0","0.0","0.0","0.0"
"27","0.0","0.0","0.0","0.0","0.0","0.0"
"28","0.0","0.0","0.0","0.0","0.0","0.0"
"29","0.0","0.0","0.0","0.0","0.0","0.0"
"30","0.0","0.0","0.0","0.0","0.0","0.0"
"31","0.0","0.0","0.0","0.0","0.0","0.0"
"32","0.0","0.0","0.0","0.0","0.0","0.0"
"33","0.0","0.0","0.0","0.0","0.0","0.0"
"34","0.0","0.0","0.0","0.0","0.0","0.0"
"35","0.0","0.0","0.0","0.0","0.0","0.0"
"36","0.0","0.0","0.0","0.0","0.0","0.0"
"37","0.0","0.0","0.0","0.0","17.29190885525216","0.0"
"38","0.0","0.0","0.0","18.37557319612532","34.37230828791185","0.0"
"39","0.0","0.0","0.0","10.128682314964365","19.442722252536946","35.96648402864608"
"40","0.0","0.0","0.0","10.418620015041297","29.575346065735214","40.843881826515926"
"41","0.0","0.0","0.0","48.11581565377573","22.34537843948003","40.15933879476998"
"42","0.0","0.0","0.0","56.45201219244173","24.37728620287774","69.35849008776862"
"43","0.0","0.0","0.0","39.796985515403044","23.949556786085406","68.85096905016209"
"44","0.0","0.0","0.0","105.16158715098751","10.42346443280112","61.12943082623589"
"45","0.0","2.918167493364801","0.0","81.84368764304266","42.5884103186624","64.29732735032115"
"46","0.0","0.565045602040076","0.0","59.52092071621042","100.07184802324538","100.01992243976977"
"47","0.0","4.135871800286664","0.0","80.01981424850496","73.07182653836574","98.70898681517411"
"48","0.0","0.5952020981217157","0.0","95.4716660948393","109.51303616589932","94.51602862797836"
"49","0.0","17.97704587829089","34.67611291627564","69.062863466049","121.41494346498024","108.23296978651314"
"50","0.0","15.409278235473796","125.98271042246589","59.46178902974443","221.3600987330151","75.45855016765319"
"51","0.0","21.44334469310768","152.337944329473","42.41600865664845","216.56405446083335","60.277600845610685"
"52","0.0","17.96725847005755","189.97128339526233","45.07861554242869","144.55933201854464","80.2938559507331"
"53","0.0","13.218388614300098","215.22482891375824","43.907018484725405","144.3125335303974","114.4978195426571"
"54","0.0","17.209623339470294","215.9391023525012","62.238290697309594","182.2210147483969","233.4763323507796"
"55","0.0","19.83467353164847","230.55536059755022","63.40656602901253","97.4573249655218","298.3305221913257"
"56","11.107268508787191","16.16255785479707","161.0616288713716","48.75272236571792","136.6596983768516","498.2063641730673"
"57","52.121063165864896","12.773358563211996","123.98126518931277","47.22639067370914","119.19454428511902","435.5140993874256"
"58","160.63825274824703","17.794827066151896","110.96027626319392","38.64368814877278","101.94203794461448","238.41054690472856"
"59","206.70794163321779","42.128055928174234","144.74436786305534","19.133976014774607","136.0704100281715","203.22677509007542"
"60","291.66218951806815","32.57602529257075","96.74458683920928","50.1471812639464","123.51618387454145","242.0938744322082"
"61","374.8487599465796","37.393926951873866","282.37918467376556","11.404750239183006","126.57349477009569","382.4383801146214"
"62","190.47771383207257","15.196836887161654","297.671860170752","16.873901508244003","69.71015619407854","247.30973900230669"
"63","141.86734046264192","17.254573255355783","70.8972769768437","14.159207002953487","75.16685063349034","403.63600143217474"
"64","273.3745434142477","15.38925570687902","94.91615109806821","39.79882737716252","83.64027885082012","235.50445190477436"
"65","149.05528282317363","17.896132935373625","93.73179987229555","29.537215090550156","102.80493979989254","173.71703341715855"
"66","352.20184967951064","13.95755094514119","93.70357389924918","41.74446920942509","77.45666591826013","221.1305931706277"
