"tick","anonymous_double_time_series","anonymous_double_time_series","anonymous_double_time_series","anonymous_double_time_series","anonymous_double_time_series","anonymous_double_time_series"
"0","100.0","100.0","100.0","100.0","100.0","100.0"
"1","100.41391778111812","99.9849727738617","100.52452140772392","100.27213190597554","99.99793266776187","100.0498767901412"
"2","100.14850025232079","99.64198237564537","100.57523696623969","100.34560126502433","100.04491434321746","100.18455835054061"
"3","100.4120245772862","99.46757131157142","100.55240157372982","100.50438242265028","100.31154643212986","100.37088469425174"
"4","100.58001618717178","99.51109466079312","100.66821610439443","100.31998189880778","100.04948599264782","100.21775301481944"
"5","100.13528147111485","99.69305031298667","100.9026461925351","100.21827766155337","100.15690163667318","100.10108184088092"
"6","100.0225168565483","99.78150108826006","101.15195829526944","99.89166097225977","100.49674326274459","100.29963206069439"
"7","99.709703849789","99.5777011434856","101.33170944242417","99.78106385120724","100.2007641802929","100.23991204178964"
"8","100.17923056171946","99.1586005044257","101.33420186218513","99.84338937643793","99.94103834605652","100.58748822613511"
"9","100.02070865099385","98.95007609895642","101.73904863501686","99.58689364807908","99.61850996382135","100.63277487245206"
"10","100.1757620961128","98.57411202709116","101.94893224883886","99.58242760601887","99.32185423935438","100.94694143674165"
"11","99.69616968915649","98.4344785470519","101.7605925753941","99.25224429281383","99.02712851060136","100.99755075603488"
"12","99.68711631709921","98.17648223620034","101.7273070728647","99.09071593154357","99.17538044584086","101.47904429244245"
"13","99.4585259666183","98.44887002806766","101.69321488020333","99.33616208739876","99.31070325291327","101.53853229808038"
"14","99.06341523066378","98.37578421648809","101.75899435468322","99.11366311529312","99.71659649695528","101.4678784428713"
"15","98.87956258894307","98.28118294268809","101.88635888924168","98.94283008219251","99.8167772490621","101.43826681046667"
"16","99.16273581859326","98.15548582470646","102.18219830591312","98.85305175047932","100.23083919060988","101.3392100512987"
"17","99.45170370137586","97.98415338128842","102.657939976642","98.73608846162794","100.05451955349547","101.55597882827145"
"18","99.97720090192936","97.84797631985433","102.52975269256997","98.5064847124279","100.00343125091047","101.71838349119018"
"19","99.90805935609481","97.91390382080898","101.99147896828934","98.37408288498278","100.44772992897768","101.83772316345028"
"20","99.6715161955051","98.38672521122751","102.26102045051437","97.69689648545004","100.83874003828512","101.95467291097265"
"21","100.30675596492502","98.27833983930898","102.4594494222746","97.42050735417611","101.0023425039207","101.58698145156266"
"22","100.69784908314529","98.25392092805585","102.47465609488003","97.33607545115419","101.12504761469826","101.57382530258289"
"23","100.65145202436617","97.96653180241421","102.41392299560175","97.39657247750624","101.5459009943562","102.0640187161611"
"24","100.70428364782673","98.03615355948486","102.80676642150544","97.86930671030119","101.54862563146216","101.75033073961701"
"25","100.88590827595448","97.59569230998792","102.42259064989666","98.06572210363883","101.8381252382325","101.77050264921071"
"26","100.87944960006371","98.06359149087609","102.54641177308821","97.79174104644294","102.08445908516273","101.84647969432699"
"27","100.9751927275513","98.014783327804","102.24645939496922","98.08760260315142","102.14553390747174","101.68448180030603"
"28","100.97696998444478","98.58380605656214","102.00948435643045","97.70581945269801","102.16805661371575","101.57613657599113"
"29","101.15879888886684","98.34433659932301","102.05125343094083","97.38441164015502","102.58210263778223","101.7999612769977"
"30","101.42003317400277","98.50523296468913","102.04318414500057","97.0853912802307","102.68943000792632","101.53548789021221"
"31","100.74043917178336","98.43949966216748","102.03670966040035","97.53896590676626","102.61105770467897","101.9089332880357"
"32","100.81353680337027","98.29274753708616","102.17456695526293","97.85377686210903","102.59462615305286","101.97882440342103"
"33","100.95925161962289","98.24388661551151","102.50230345696129","97.64320758974145","102.69482369602306","102.17296960630581"
"34","100.3871591213103","98.1356959459043","102.33959728849565","97.20660503425634","102.85131521000842","102.01322799301013"
"35","100.25633285386157","98.19192649960121","102.29135325325062","97.65922757840089","102.83516063868778","101.75367141022247"
"36","100.23563542518673","98.33093588218563","102.0109031907529","97.76239236526571","102.60249352645465","102.48105584667123"
"37","100.60134229384055","98.28825627458261","101.71307324563332","97.2836192161746","102.48853343145244","101.84429493501516"
"38","100.27092479410207","98.60139714280237","101.85433363008094","97.24004938056693","102.2652461621796","102.16560968315501"
"39","100.55114475633037","98.54690234549695","101.68090353885806","97.70132327020909","101.92485412322499","102.01990605089992"
"40","100.9086107148155","98.80703589224105","102.04835314127945","97.64524787893413","101.77822442282847","101.46412914875754"
"41","100.46499743316753","98.81707396428182","102.06072741769144","97.90964887025287","101.85239117692173","101.62473450707276"
"42","100.77948214558363","98.47851311081827","102.17197101495981","97.9891763138465","101.77369006396061","102.32428426748777"
"43","100.77318136311959","97.73132410258341","102.32563197800683","98.09811249183718","101.56740154509619","102.25191865979923"
"44","101.3710674375089","97.62674499876788","102.48830733033074","98.01140444455633","101.72213865723121","102.06853411471546"
"45","101.30921999458572","97.79606913384112","102.4754269729457","97.67674998453742","101.73413911724927","101.79872801856283"
"46","101.70947676055782","97.69357359017351","102.79347448823455","97.58309182376328","101.84135967607897","101.69144516277136"
"47","101.46708655966222","97.96021022012829","102.43306800825422","97.39036082843461","101.87096190435575","101.86789341443429"
"48","101.11171675944715","98.1344189548675","102.71835258903795","97.51154885528446","101.58436175335933","101.55343575791638"
"49","101.38169349607794","97.9663415885713","102.27485297062796","97.90642038519715","101.43927442982525","101.11471073024165"
"50","101.6708503927964","97.43647613617301","102.50326917157759","97.74917865070192","101.17097960867358","100.9238497218183"
"51","101.5079454472137","97.18257727825522","102.50656170787379","97.40465312634608","101.07470377467334","101.27638035467506"
